Date,Department,Resource_ID,Cloud_Service,Resource_Type,Region,CPU_Usage_Percent,Memory_Usage_Percent,Storage_Usage_GB,Usage_Hours,Cost_USD
2025-01-02 00:00:00,Finance,RES00192,Compute,Serverless,India,69.31,78.27,98.18,4.55,23.63
2025-01-02 00:00:00,Finance,RES06331,Compute,Container,US West,85.3,87.83,32.14,21.37,75.46
2025-01-02 00:00:00,IT,RES01608,Database,Database Server,US East,89.27,82.83,189.09,8.42,82.83
2025-01-02 00:00:00,IT,RES05996,Compute,Container,Asia Pacific,43.61,53.96,226.56,14.77,47.99
2025-01-02 00:00:00,IT,RES10787,Compute,Serverless,US West,14.91,47.18,86.63,13.52,26.49
2025-01-02 00:00:00,Marketing,RES01438,Compute,Virtual Machine,US West,73.07,76.42,96.12,6.53,45.69
2025-01-02 00:00:00,Marketing,RES06042,Database,Data Warehouse,US East,69.59,59.84,108.72,19.43,184.09
2025-01-02 00:00:00,Marketing,RES07649,Compute,Virtual Machine,US East,73.61,68.37,115.34,19.21,77.65
2025-01-02 00:00:00,Operations,RES00153,Database,Database Server,India,69.74,72.4,838.33,8.28,74.5
2025-01-02 00:00:00,Operations,RES01352,Database,Data Warehouse,Asia Pacific,66.59,73.49,109.06,20.24,198.77
2025-01-02 00:00:00,Operations,RES05315,Compute,Serverless,India,65.68,80.9,55.1,6.27,29.29
2025-01-02 00:00:00,Operations,RES10051,Compute,Virtual Machine,Asia Pacific,63.17,68.01,135.29,6.61,43.33
2025-01-02 00:00:00,Sales,RES03807,Database,Data Warehouse,Europe,61.72,50.11,17.25,17.88,174.78
2025-01-02 00:00:00,Sales,RES05070,Database,Data Warehouse,India,36.19,25.96,101.53,11.03,86.66
2025-01-02 00:00:00,Sales,RES07709,Compute,Serverless,India,24.22,30.27,30.79,17.12,23.82
2025-01-02 00:00:00,Sales,RES07779,Database,Database Server,US West,36.3,47.81,238.23,20.04,146.87
2025-01-03 00:00:00,Finance,RES01122,Storage,Block Storage,US East,67.67,77.06,251.1,9.21,24.96
2025-01-03 00:00:00,Finance,RES02759,Database,Database Server,India,15.77,43.11,30.67,8.24,53.89
2025-01-03 00:00:00,Finance,RES02882,Compute,Container,India,47.08,24.96,156.72,9.83,21.74
2025-01-03 00:00:00,Finance,RES09676,Compute,Virtual Machine,US East,91.47,82.01,160.23,14.12,64.04
2025-01-03 00:00:00,Finance,RES10235,Compute,Serverless,US West,64.17,47.83,129.52,8.33,32.94
2025-01-03 00:00:00,HR,RES01165,Storage,Block Storage,US East,45.12,55.66,66.59,12.79,15.44
2025-01-03 00:00:00,HR,RES01571,Compute,Container,Asia Pacific,27.33,26.49,57.97,13.69,33.05
2025-01-03 00:00:00,HR,RES07294,Compute,Virtual Machine,US West,18.82,33.32,72.4,10.96,43.8
2025-01-03 00:00:00,HR,RES08300,Compute,Virtual Machine,Asia Pacific,11.45,15.8,207.59,5.04,19.13
2025-01-03 00:00:00,HR,RES09927,Storage,Object Storage,India,20.6,34.73,168.67,19.03,14.3
2025-01-03 00:00:00,Marketing,RES00661,Compute,Virtual Machine,US West,68.26,85.22,106.26,18.86,81.91
2025-01-03 00:00:00,Marketing,RES03305,Compute,Serverless,India,31.36,41.08,15.33,14.41,34.99
2025-01-03 00:00:00,Marketing,RES05879,Compute,Virtual Machine,Asia Pacific,45.17,45.34,190.7,4.33,32.91
2025-01-03 00:00:00,Marketing,RES09352,Compute,Virtual Machine,US West,74.94,81.96,110.28,4.61,44.48
2025-01-03 00:00:00,Marketing,RES10223,Database,Data Warehouse,Asia Pacific,54.27,76.24,271.75,17.92,174.67
2025-01-03 00:00:00,Marketing,RES10267,Database,Data Warehouse,US East,62.96,59.18,130.13,7.3,76.01
2025-01-03 00:00:00,Marketing,RES11068,Storage,Object Storage,Asia Pacific,88.09,85.55,184.65,23.74,33.2
2025-01-03 00:00:00,Operations,RES04891,Compute,Virtual Machine,Asia Pacific,68.34,65.6,38.86,16.53,72.34
2025-01-03 00:00:00,Operations,RES07342,Database,Database Server,US East,54.44,72.79,29.61,18.18,133.52
2025-01-03 00:00:00,Operations,RES09731,Database,Data Warehouse,Asia Pacific,43.74,62.99,43.3,17.05,164.69
2025-01-03 00:00:00,Sales,RES03448,Compute,Virtual Machine,Asia Pacific,48.71,43.78,107.55,15.1,47.46
2025-01-04 00:00:00,Finance,RES03001,Compute,Container,US West,73.02,53.08,165.15,5.39,33.58
2025-01-04 00:00:00,Finance,RES05484,Database,Data Warehouse,Asia Pacific,42.74,58.84,59.71,13.23,135.53
2025-01-04 00:00:00,Finance,RES07969,Networking,Load Balancer,India,52.91,60.21,266.09,17.82,50.55
2025-01-04 00:00:00,Finance,RES09983,Database,Database Server,India,55.69,58.59,44.36,14.67,98.58
2025-01-04 00:00:00,IT,RES04229,Compute,Container,Europe,45.72,43.12,170.07,22.67,59.36
2025-01-04 00:00:00,IT,RES08306,Compute,Serverless,US East,55.06,50.03,215.93,5.01,26.37
2025-01-04 00:00:00,IT,RES09794,Storage,Object Storage,India,35.39,37.79,194.48,10.72,5.85
2025-01-04 00:00:00,Marketing,RES07305,Networking,Load Balancer,US East,77.38,72.63,208.56,12.48,50.03
2025-01-04 00:00:00,Operations,RES00717,Networking,Load Balancer,US East,53.15,45.73,46.12,19.08,51.06
2025-01-04 00:00:00,Operations,RES00974,Compute,Container,India,65.8,57.13,107.28,8.87,35.94
2025-01-04 00:00:00,Operations,RES04066,Compute,Container,India,30,37.57,976.7,5.2,22.18
2025-01-04 00:00:00,Operations,RES05706,Compute,Virtual Machine,Europe,75.11,78.77,122.26,6.59,45.42
2025-01-04 00:00:00,Operations,RES05762,Compute,Virtual Machine,US East,74.18,70.61,173.89,20.32,84.74
2025-01-04 00:00:00,Sales,RES10598,Compute,Virtual Machine,US West,90.4,68.45,126.36,16.73,79.68
2025-01-05 00:00:00,Finance,RES00306,Compute,Container,Asia Pacific,81.81,79.44,197.53,15.82,59.4
2025-01-05 00:00:00,Finance,RES00764,Database,Database Server,India,64.63,78.41,159.45,9.23,79.49
2025-01-05 00:00:00,Finance,RES05402,Compute,Virtual Machine,Europe,46.1,43.71,216.22,11.41,53.03
2025-01-05 00:00:00,IT,RES03955,Storage,Block Storage,Asia Pacific,17.28,31.37,57.92,20.71,13.87
2025-01-05 00:00:00,IT,RES04005,Storage,Object Storage,India,14.5,30.96,76.36,6.97,5
2025-01-05 00:00:00,IT,RES09838,Networking,Load Balancer,Asia Pacific,58.97,79.33,216.25,12.06,53.28
2025-01-05 00:00:00,IT,RES11491,Storage,Object Storage,Asia Pacific,98,90.6,165.23,19.53,39.06
2025-01-05 00:00:00,Marketing,RES00623,Compute,Virtual Machine,India,72.36,69.84,144.69,10.31,49.31
2025-01-05 00:00:00,Marketing,RES03908,Compute,Serverless,India,10.82,16.4,167.3,12.35,20.96
2025-01-05 00:00:00,Marketing,RES09578,Database,Database Server,Asia Pacific,17.75,27.15,109.41,20.99,147.37
2025-01-05 00:00:00,Operations,RES00101,Compute,Serverless,Asia Pacific,48.88,49.55,203.31,20.99,45.81
2025-01-05 00:00:00,Operations,RES00531,Networking,Network Gateway,India,53.46,63.8,167.89,23.96,70.24
2025-01-05 00:00:00,Operations,RES02867,Database,Data Warehouse,US East,43.43,42.41,177.94,5.66,58.86
2025-01-05 00:00:00,Operations,RES08869,Compute,Virtual Machine,Asia Pacific,98,74.53,93.09,6.67,45.52
2025-01-05 00:00:00,Operations,RES10960,Compute,Virtual Machine,US East,53.63,55.9,15.95,7.39,32.69
2025-01-05 00:00:00,Sales,RES08746,Database,Database Server,Asia Pacific,57.25,50.95,88.16,21.37,167.15
2025-01-05 00:00:00,Sales,RES11660,Compute,Container,US West,49.67,68.2,308.63,13.32,50.45
2025-01-06 00:00:00,Finance,RES03336,Networking,Network Gateway,Europe,13.74,14.05,121.89,19.16,39.98
2025-01-06 00:00:00,Finance,RES04068,Compute,Container,Europe,75.47,65.86,90.99,19.18,63.67
2025-01-06 00:00:00,Finance,RES09249,Compute,Virtual Machine,India,67.3,67.78,148.94,18.16,62.16
2025-01-06 00:00:00,HR,RES03863,Storage,Block Storage,Asia Pacific,57.26,67.1,42.7,23.89,23.45
2025-01-06 00:00:00,HR,RES06633,Compute,Container,India,55.65,45.9,106.83,8.51,30.25
2025-01-06 00:00:00,HR,RES06934,Compute,Serverless,Europe,62.71,70.67,62.88,13.83,47.45
2025-01-06 00:00:00,HR,RES10252,Database,Database Server,Asia Pacific,58.6,54.4,158.73,5.88,59.59
2025-01-06 00:00:00,IT,RES10018,Compute,Virtual Machine,India,24.06,38.51,138.63,12.22,39.32
2025-01-06 00:00:00,IT,RES11744,Database,Database Server,Europe,17.73,60.09,117.5,10.5,86.89
2025-01-06 00:00:00,Marketing,RES00713,Database,Data Warehouse,India,66.96,57.99,55.43,20.77,166
2025-01-06 00:00:00,Marketing,RES04075,Networking,Network Gateway,India,41.27,61.11,70.17,10.11,37.78
2025-01-06 00:00:00,Marketing,RES11745,Storage,Block Storage,US East,43.93,50.72,67.5,20.73,20.15
2025-01-06 00:00:00,Operations,RES03772,Compute,Serverless,US West,16.28,42.66,38.98,6.59,20.94
2025-01-06 00:00:00,Operations,RES04001,Compute,Serverless,India,36.38,42.65,106.55,8.3,19.87
2025-01-06 00:00:00,Operations,RES05991,Database,Data Warehouse,India,29.92,44.33,72.89,20.95,153.39
2025-01-06 00:00:00,Operations,RES09949,Compute,Container,India,60.58,55.48,360.81,13.61,37.79
2025-01-06 00:00:00,Sales,RES07625,Compute,Virtual Machine,US East,63.87,59.46,70.8,16.21,59.46
2025-01-06 00:00:00,Sales,RES10945,Database,Database Server,US East,61.97,62.23,24.82,19.94,147.53
2025-01-07 00:00:00,Finance,RES00660,Storage,Block Storage,US East,32.04,51.77,159.76,14.82,16.38
2025-01-07 00:00:00,Finance,RES05562,Storage,Block Storage,India,80.87,84.78,39.6,8.8,27.45
2025-01-07 00:00:00,Finance,RES07097,Storage,Block Storage,Asia Pacific,61.12,71.03,18.3,14.52,27.41
2025-01-07 00:00:00,HR,RES01378,Compute,Virtual Machine,Asia Pacific,53.1,42.62,153.87,9.41,45.88
2025-01-07 00:00:00,HR,RES06037,Networking,Network Gateway,Europe,46.36,57.78,48.27,15.83,52.71
2025-01-07 00:00:00,IT,RES01268,Database,Data Warehouse,US West,9.34,25.21,163.2,22.27,191.64
2025-01-07 00:00:00,IT,RES02479,Networking,Load Balancer,US East,72.81,67.8,202.65,17.94,55.93
2025-01-07 00:00:00,IT,RES03221,Database,Data Warehouse,India,53.42,57.15,146.34,7.84,64.27
2025-01-07 00:00:00,IT,RES03402,Compute,Virtual Machine,Europe,64.64,48.66,52.45,23.46,95.51
2025-01-07 00:00:00,IT,RES04839,Compute,Virtual Machine,India,89.12,78.16,84.01,19.58,74.3
2025-01-07 00:00:00,IT,RES06713,Compute,Virtual Machine,Europe,55.23,46.69,93.47,11.74,47.23
2025-01-07 00:00:00,IT,RES08070,Compute,Serverless,India,66.44,66.74,122.15,17.89,42.76
2025-01-07 00:00:00,IT,RES08999,Compute,Container,India,84.48,84.19,125.32,20.52,62.16
2025-01-07 00:00:00,IT,RES09296,Database,Data Warehouse,India,23.13,37.98,129.15,20.79,144.7
2025-01-07 00:00:00,Marketing,RES06573,Compute,Container,India,73.71,67.13,451.23,4.58,30.62
2025-01-07 00:00:00,Marketing,RES06585,Compute,Container,Asia Pacific,46.72,51.39,108.23,7.69,32.34
2025-01-07 00:00:00,Marketing,RES07789,Networking,Network Gateway,India,97.06,85.67,34.3,20.61,73.17
2025-01-07 00:00:00,Operations,RES04415,Database,Database Server,US East,75.91,94.79,263.76,14.45,117.8
2025-01-07 00:00:00,Operations,RES06419,Compute,Serverless,India,89.9,92.74,47.05,18.47,46.59
2025-01-07 00:00:00,Sales,RES00937,Networking,Network Gateway,US West,51.4,62.26,131.51,4.66,28.3
2025-01-07 00:00:00,Sales,RES01216,Compute,Virtual Machine,India,51.37,60.96,149.32,5.48,36.59
2025-01-07 00:00:00,Sales,RES01755,Compute,Virtual Machine,US East,98,98,65.86,18.82,85.81
2025-01-08 00:00:00,Finance,RES11703,Compute,Virtual Machine,India,95.43,91.24,207.65,16.34,74.98
2025-01-08 00:00:00,Finance,RES11806,Networking,Load Balancer,India,89.81,81.47,2130.68,12.4,56.76
2025-01-08 00:00:00,HR,RES02341,Networking,Network Gateway,India,8.22,17.03,58.3,15.67,34.84
2025-01-08 00:00:00,IT,RES00512,Compute,Container,Asia Pacific,12.17,31.76,140.93,10.89,21.41
2025-01-08 00:00:00,IT,RES00647,Compute,Serverless,Asia Pacific,64.5,57.52,215.48,14.57,38.35
2025-01-08 00:00:00,IT,RES01880,Compute,Virtual Machine,Asia Pacific,66.02,57.42,167.58,7.09,40.43
2025-01-08 00:00:00,IT,RES03985,Compute,Virtual Machine,Asia Pacific,17.19,23.42,62.9,12.84,48.27
2025-01-08 00:00:00,IT,RES04354,Storage,Block Storage,India,53.54,49.44,223.01,20.95,19.84
2025-01-08 00:00:00,IT,RES07999,Compute,Container,Europe,62.94,52.96,184.37,22.27,65.06
2025-01-08 00:00:00,IT,RES08624,Compute,Container,US East,68.72,85.14,105.42,8.67,38.07
2025-01-08 00:00:00,IT,RES08861,Compute,Container,India,75.78,79.5,595.29,18.98,61.75
2025-01-08 00:00:00,IT,RES08902,Compute,Container,India,98,97.29,305.57,6.57,40.1
2025-01-08 00:00:00,IT,RES08981,Compute,Container,Europe,68.43,80.17,138.45,9.9,47.84
2025-01-08 00:00:00,IT,RES09833,Compute,Virtual Machine,India,38.39,41.34,261.27,9.43,35.09
2025-01-08 00:00:00,IT,RES10139,Storage,Object Storage,India,30.91,50.01,169.09,13.86,16.75
2025-01-08 00:00:00,IT,RES10575,Storage,Block Storage,India,45.85,48.85,518.87,23.53,26.74
2025-01-08 00:00:00,IT,RES10726,Compute,Serverless,US East,70.48,65.11,108.04,21.4,47.65
2025-01-08 00:00:00,IT,RES11590,Compute,Container,US East,60.02,57.16,198.71,12.87,44.21
2025-01-08 00:00:00,Marketing,RES05322,Compute,Serverless,India,98,91.62,154.71,16.41,53.69
2025-01-08 00:00:00,Marketing,RES08419,Storage,Object Storage,India,61.35,68.11,63.28,12.32,25.33
2025-01-08 00:00:00,Marketing,RES08875,Compute,Serverless,India,58.7,65.85,199.99,7.45,27.85
2025-01-08 00:00:00,Marketing,RES10586,Database,Database Server,Asia Pacific,50.68,55.79,42.72,12.47,109.44
2025-01-08 00:00:00,Operations,RES02917,Compute,Virtual Machine,India,56.08,57.84,262.19,13.97,52.71
2025-01-08 00:00:00,Operations,RES03633,Database,Database Server,US East,22.27,33.86,276.22,11.24,72.12
2025-01-08 00:00:00,Operations,RES04778,Networking,Network Gateway,Europe,76.59,95.26,161.48,20.7,78.8
2025-01-08 00:00:00,Sales,RES00916,Database,Database Server,Europe,85.4,78.92,128.88,21.31,175.2
2025-01-08 00:00:00,Sales,RES01516,Compute,Serverless,Europe,61.64,86.44,209.7,22.85,53.73
2025-01-08 00:00:00,Sales,RES02186,Database,Database Server,US West,15.4,40.76,480.33,8.45,65.58
2025-01-08 00:00:00,Sales,RES06658,Compute,Container,US West,42.23,57.21,13.62,17.48,48.22
2025-01-09 00:00:00,Finance,RES00198,Database,Database Server,India,27.7,50.77,91.63,15.27,100.4
2025-01-09 00:00:00,Finance,RES06109,Storage,Block Storage,US East,10.89,27.42,36.21,21.97,16.59
2025-01-09 00:00:00,Finance,RES11979,Storage,Block Storage,Asia Pacific,33.94,45.21,81.74,12.71,17.91
2025-01-09 00:00:00,HR,RES10879,Compute,Serverless,US West,45.83,49.35,46.73,22.96,38.01
2025-01-09 00:00:00,IT,RES00433,Networking,Network Gateway,Asia Pacific,62.75,60.58,19.32,11.08,49.49
2025-01-09 00:00:00,IT,RES04195,Compute,Serverless,Asia Pacific,10.06,10.3,119.32,17.69,27.15
2025-01-09 00:00:00,IT,RES04584,Compute,Container,US East,89.23,88.99,47.64,9.99,37.01
2025-01-09 00:00:00,IT,RES06672,Database,Data Warehouse,India,70.86,80.21,744.26,9.17,87.38
2025-01-09 00:00:00,IT,RES07996,Compute,Serverless,Europe,59.48,46.26,262.9,10.03,30.95
2025-01-09 00:00:00,IT,RES10300,Storage,Object Storage,India,50.95,82.51,185.52,11.31,23.13
2025-01-09 00:00:00,IT,RES10452,Compute,Virtual Machine,India,79.03,82.46,189.05,12.13,61.72
2025-01-09 00:00:00,IT,RES11094,Compute,Virtual Machine,India,80.55,62.33,53.15,19.62,69.14
2025-01-09 00:00:00,IT,RES11254,Database,Database Server,Asia Pacific,41.14,32.08,255.81,17.72,133.95
2025-01-09 00:00:00,Marketing,RES01365,Database,Database Server,US West,30.42,43.26,289.28,16.6,131.56
2025-01-09 00:00:00,Operations,RES05278,Compute,Container,Asia Pacific,45.96,46.92,30.32,7.46,31.54
2025-01-09 00:00:00,Operations,RES07136,Compute,Container,US East,74.92,98,143.06,20.85,74.67
2025-01-09 00:00:00,Operations,RES07410,Database,Database Server,India,41.23,48.44,32.07,23.56,144.13
2025-01-09 00:00:00,Operations,RES10134,Compute,Serverless,Europe,44.97,54.75,210.78,14.31,38.06
2025-01-09 00:00:00,Operations,RES11358,Compute,Serverless,India,74.77,78.33,121.42,23.39,55.74
2025-01-09 00:00:00,Sales,RES08132,Storage,Block Storage,Europe,58.21,71.98,17.92,10.61,23.03
2025-01-10 00:00:00,Finance,RES00528,Compute,Serverless,US East,73.59,67.69,148.33,13.01,32.51
2025-01-10 00:00:00,Finance,RES00740,Compute,Serverless,India,48.23,54.07,75.27,4.83,16.6
2025-01-10 00:00:00,Finance,RES06918,Database,Data Warehouse,US East,83,68.61,113.17,21.29,200.51
2025-01-10 00:00:00,HR,RES11752,Compute,Serverless,US East,98,91.87,110.99,21.28,61.02
2025-01-10 00:00:00,HR,RES11791,Compute,Container,India,85.89,73.21,388.24,13.34,48.24
2025-01-10 00:00:00,IT,RES01462,Compute,Virtual Machine,US East,98,91.07,31.02,13.87,70.85
2025-01-10 00:00:00,IT,RES03049,Compute,Virtual Machine,Asia Pacific,17.84,18.42,118.19,5.55,18.72
2025-01-10 00:00:00,IT,RES05071,Compute,Container,Asia Pacific,56.34,65.75,81.83,22.64,57.41
2025-01-10 00:00:00,IT,RES07985,Storage,Object Storage,Europe,71.11,66.85,59.96,12.95,27.94
2025-01-10 00:00:00,IT,RES09789,Database,Database Server,US East,40.87,55.13,254.66,17.6,136.76
2025-01-10 00:00:00,Marketing,RES01868,Database,Data Warehouse,Asia Pacific,22.61,36.64,257.81,6.81,69.26
2025-01-10 00:00:00,Marketing,RES01998,Storage,Object Storage,India,61.37,70.16,717.35,4.41,27.08
2025-01-10 00:00:00,Marketing,RES02682,Networking,Network Gateway,India,52.69,66.88,205.1,16.28,50.64
2025-01-10 00:00:00,Operations,RES01635,Networking,Load Balancer,US West,61.29,71.89,466.26,6.79,36.03
2025-01-10 00:00:00,Operations,RES04753,Compute,Virtual Machine,India,81.51,85.09,147.51,12.1,56.37
2025-01-10 00:00:00,Operations,RES05114,Compute,Serverless,India,38.87,60.38,97.11,23.21,38.14
2025-01-10 00:00:00,Operations,RES05912,Compute,Serverless,India,22.88,42.84,54.88,14.6,30.78
2025-01-10 00:00:00,Operations,RES07387,Database,Database Server,India,19.94,30.37,126.27,12.93,86.21
2025-01-10 00:00:00,Operations,RES08638,Networking,Network Gateway,Asia Pacific,35.64,45.08,59.54,19.21,57.34
2025-01-10 00:00:00,Operations,RES11304,Compute,Serverless,US West,47.42,37.46,26.95,17.33,33.32
2025-01-10 00:00:00,Sales,RES02941,Database,Database Server,Europe,44.51,64.04,131.31,10.12,85.33
2025-01-10 00:00:00,Sales,RES03905,Database,Data Warehouse,India,40.04,48.05,776.94,6.38,62.5
2025-01-10 00:00:00,Sales,RES07642,Compute,Virtual Machine,Asia Pacific,47.67,50.86,102.51,22.18,81.2
2025-01-10 00:00:00,Sales,RES10113,Compute,Virtual Machine,US West,46.92,37.24,347.82,8.27,43.63
2025-01-10 00:00:00,Sales,RES10249,Database,Data Warehouse,US East,35.61,30.24,72.85,13.2,112.72
2025-01-11 00:00:00,Finance,RES06873,Database,Data Warehouse,US West,53.17,47.2,361.17,10.3,104.83
2025-01-11 00:00:00,HR,RES05437,Database,Data Warehouse,US East,65.46,64.81,478.5,21.01,191.37
2025-01-11 00:00:00,IT,RES01140,Compute,Container,US West,79.09,78.43,52.05,23.44,68.16
2025-01-11 00:00:00,IT,RES03366,Compute,Virtual Machine,India,40.3,48.3,309.03,12.26,48.46
2025-01-11 00:00:00,IT,RES06692,Database,Database Server,India,47.25,49.8,77.93,18.78,113.43
2025-01-11 00:00:00,IT,RES07490,Database,Database Server,India,7.16,7.08,69.93,4.01,22.85
2025-01-11 00:00:00,IT,RES08874,Compute,Virtual Machine,India,82.24,93.11,179.59,5.17,39.34
2025-01-11 00:00:00,IT,RES09725,Networking,Network Gateway,India,89.46,92,48.71,19.47,60.9
2025-01-11 00:00:00,Marketing,RES07433,Compute,Virtual Machine,US East,40.97,54.21,167.63,7.81,30.45
2025-01-11 00:00:00,Marketing,RES09475,Compute,Virtual Machine,Europe,60.18,74.78,55.39,6.47,39.38
2025-01-11 00:00:00,Operations,RES01003,Networking,Load Balancer,US East,12.13,17.69,140.61,18.48,48.02
2025-01-11 00:00:00,Operations,RES01338,Database,Database Server,US West,45.91,53.91,196.75,5.38,55.32
2025-01-11 00:00:00,Operations,RES03698,Networking,Load Balancer,US West,98,80,563.19,17.46,61.34
2025-01-11 00:00:00,Sales,RES00818,Storage,Object Storage,Europe,47.15,52.74,192.6,17.08,15.51
2025-01-11 00:00:00,Sales,RES07976,Database,Data Warehouse,US East,11.27,29.96,67.14,19.37,167.87
2025-01-11 00:00:00,Sales,RES11546,Networking,Network Gateway,US East,60.46,61.67,108.89,13.83,53.66
2025-01-12 00:00:00,Finance,RES00372,Storage,Block Storage,US East,57.75,45.37,109.49,19.16,17.8
2025-01-12 00:00:00,Finance,RES01746,Networking,Load Balancer,India,37.37,36.26,74.2,14.87,40.42
2025-01-12 00:00:00,Finance,RES04600,Database,Data Warehouse,Asia Pacific,38.34,45.96,118.36,6.24,68.5
2025-01-12 00:00:00,Finance,RES07924,Compute,Virtual Machine,India,98,93.32,75.1,15.84,74.58
2025-01-12 00:00:00,Finance,RES11973,Storage,Block Storage,US East,73.94,65.17,239.89,22.74,31.03
2025-01-12 00:00:00,HR,RES08663,Networking,Load Balancer,US East,5,8.99,128.24,6.27,9.38
2025-01-12 00:00:00,HR,RES10026,Networking,Load Balancer,Asia Pacific,76.85,83.45,265.77,7.32,43.24
2025-01-12 00:00:00,IT,RES00507,Compute,Serverless,Europe,67.53,74.83,167.82,20.6,60.03
2025-01-12 00:00:00,IT,RES01048,Database,Database Server,India,64.4,58.07,39.62,13.04,90.52
2025-01-12 00:00:00,IT,RES01706,Compute,Container,US West,81.58,69.75,86.88,7.07,35.71
2025-01-12 00:00:00,IT,RES02009,Networking,Load Balancer,India,14.99,16.99,34.82,5.54,20.29
2025-01-12 00:00:00,IT,RES02698,Compute,Serverless,Asia Pacific,73.23,52.43,51.02,21.27,47.61
2025-01-12 00:00:00,IT,RES02807,Networking,Network Gateway,US East,98,91.78,85.22,19.15,73.36
2025-01-12 00:00:00,IT,RES06524,Compute,Virtual Machine,Europe,77.24,52.63,51.22,16.68,76.98
2025-01-12 00:00:00,IT,RES06689,Database,Data Warehouse,US East,64.82,56.48,167.37,12.08,119.53
2025-01-12 00:00:00,IT,RES06968,Compute,Serverless,India,44.11,37.15,54.86,8.89,25.74
2025-01-12 00:00:00,IT,RES07740,Database,Database Server,Europe,18.88,19.95,54.55,15.58,120.52
2025-01-12 00:00:00,IT,RES08919,Compute,Container,Asia Pacific,66.14,56.09,26.89,17.81,62.31
2025-01-12 00:00:00,Marketing,RES01389,Compute,Serverless,India,60.43,65.79,23.68,21.66,46.22
2025-01-12 00:00:00,Marketing,RES03128,Networking,Load Balancer,US West,98,98,60.39,5.05,43.85
2025-01-12 00:00:00,Marketing,RES09476,Networking,Load Balancer,US West,70.57,81.24,160.02,7.85,45.64
2025-01-12 00:00:00,Marketing,RES11105,Database,Data Warehouse,India,48.04,36.77,237.58,14.93,121.06
2025-01-12 00:00:00,Marketing,RES11633,Compute,Serverless,India,46.56,55.01,54.69,22.99,47.57
2025-01-12 00:00:00,Operations,RES01578,Compute,Container,India,51.79,66.99,101.68,22.13,57.32
2025-01-12 00:00:00,Operations,RES04150,Compute,Container,India,12.88,26.93,64.89,23.4,45.5
2025-01-12 00:00:00,Operations,RES05307,Compute,Virtual Machine,US West,50.15,42.25,94.92,21.24,83.29
